time(ms),x(cm),y(cm),theta(rad)
68300.0,14.37286751,36.63972431,0.01028
68400.0,14.38900434,36.60099338,0.03493829
68500.0,14.41439428,36.60479323,0.03956829
68600.0,14.42364532,36.58965015,0.0439841
68700.0,14.41176471,36.59733894,0.02644884
68800.0,14.42509579,36.6005291,0.03044271
68900.0,14.43597803,36.50252845,0.00351306
69000.0,14.39835579,36.60879849,0.03192993
69100.0,14.41389452,36.57282913,0.04722766
69200.0,14.16159875,36.46683673,-0.13994469
69300.0,14.01774848,36.34173669,-0.49237787
69400.0,14.08869863,36.21795499,-0.77045237
69500.0,13.97523238,35.9878882,-1.16807626
69600.0,13.84953436,35.59254432,-1.60964466
69700.0,13.68842365,35.5266035,-1.89882508
69800.0,13.55269397,35.59040179,-2.23436857
69900.0,13.75681034,35.84017857,-2.60366811
70000.0,13.81752445,36.07595949,-2.90972228
70100.0,13.48666667,36.1515873,3.02012992
70200.0,13.39956897,36.31622024,2.62388489
70300.0,13.31713014,36.40437788,2.12197399
70400.0,13.48014706,36.45693277,2.03425533
70500.0,13.40198276,36.88392857,1.64221847
70600.0,13.38700627,38.26753247,1.63625179
70700.0,13.32375681,40.11654135,1.63156942
70800.0,13.28613861,41.07072136,1.60488592
70900.0,13.30159401,41.69002695,1.58877599
71000.0,13.13330309,41.05102041,1.83622919
71100.0,13.17931034,40.41534392,2.11189312
71200.0,13.24484941,40.19891501,2.28165355
71300.0,13.26248835,40.12355212,-3.06936939
71400.0,12.8586579,40.52004111,2.68983703
71500.0,12.80670355,40.48081023,2.6473603
71600.0,12.99090038,40.2473545,2.29346623
71700.0,13.25172414,40.1445993,1.8605006
71800.0,13.28572714,40.2931677,1.47556011
71900.0,13.48448276,41.07057823,1.51715407
72000.0,13.53685345,41.49107143,1.32303603
72100.0,13.44086086,41.1968032,1.72054738
72200.0,13.48785607,40.66703638,2.03997997
72300.0,13.516313,40.21909341,2.36332458
72400.0,13.58027928,40.05991736,2.76428886
72500.0,13.15015674,40.40120594,3.11668885
72600.0,12.22443016,40.6598063,nan
72700.0,10.65840517,41.23125,nan
72800.0,10.58591467,40.78874092,nan
72900.0,10.54874005,40.5206044,nan
73000.0,10.36648707,40.15178571,nan
73100.0,10.46857515,39.64690027,-2.79314254
73200.0,10.35846395,39.01704545,-2.59973462
73300.0,10.34960212,38.60989011,-2.51563815
73400.0,10.42920741,38.68336887,-2.9608542
73500.0,10.22357427,38.63392857,2.89872365
73600.0,10.21498108,38.78506098,2.45122913
73700.0,9.77144659,39.56533101,2.27342223
73800.0,9.08055957,40.43905047,1.07370696
73900.0,9.06242163,40.56493506,0.98244099
74000.0,9.3205796,40.86778116,1.34755506
74100.0,9.39568966,40.62568681,1.03254688
74200.0,9.44536375,40.63915505,0.81094597
74300.0,9.42607759,40.51084184,0.25865944
74400.0,9.3509434,40.31940701,-0.09258329
74500.0,9.24111406,40.15567766,-0.76252743
74600.0,9.68424288,39.80776398,nan
74700.0,11.25395538,39.10084034,-0.48609334
74800.0,12.93864097,38.2762605,-0.45983716
74900.0,14.39673841,37.77911738,-0.40212366
75000.0,14.41611026,37.9333485,-0.05937471
75100.0,14.14784483,37.9962406,0.36735692
75200.0,13.67851694,38.04993679,0.71940447
75300.0,13.59418103,37.67708333,1.14451299
75400.0,13.53994537,37.58274399,0.8936955
75500.0,13.82886207,37.73428571,0.37905204
75600.0,14.0802099,37.70763088,0.00477419
75700.0,14.21906311,37.57479784,-0.43809782
75800.0,14.8002899,36.95101138,-0.6539513
75900.0,16.22896552,35.78367347,-0.70970617
76000.0,17.5945768,34.4474026,-0.70497299
76100.0,18.24006085,33.82292917,-0.7007067
76200.0,18.78006466,33.73065476,-0.51311881
76300.0,18.45797414,33.875,-0.08874237
76400.0,18.20698205,34.11038961,0.29586421
76500.0,17.83636364,34.00463822,0.66546026
76600.0,18.0694695,34.30054945,0.98857036
76700.0,18.57854147,35.38320463,1.05699509
76800.0,18.68437983,35.56823028,1.24461188
76900.0,18.38172414,35.40918367,1.57178997
77000.0,18.11530916,34.91933498,1.86540058
77100.0,18.2987069,34.33928571,2.21792183
77200.0,18.27907874,34.48240938,2.32853978
77300.0,18.24439655,34.69897959,1.98701463
77400.0,18.27931034,34.82908163,1.49221896
77500.0,18.39676997,35.10895118,1.09923774
77600.0,18.53140192,35.12177986,1.07742649
77700.0,18.6758069,35.19514286,0.68420168
77800.0,19.95333485,36.21851504,0.60738441
77900.0,21.51476762,37.23913043,0.58334092
78000.0,23.23508918,38.25073892,0.55606328
78100.0,24.80736292,39.17564403,0.47012314
78200.0,25.76172414,39.98112245,0.55800539
78300.0,25.42614471,39.91159251,0.95948629
78400.0,25.16543887,39.61850649,1.32755919
78500.0,25.12869176,39.45229008,1.76614078
78600.0,25.03508684,39.14624609,2.11348626
78700.0,24.55072595,39.94817401,2.23011581
78800.0,24.00938252,40.19269103,2.09783322
78900.0,23.79611479,40.05381605,2.41090289
79000.0,23.90394089,39.81559767,2.81507967
79100.0,23.98476047,39.2746884,3.04479813
79200.0,23.93013838,38.7737312,-3.0996821
79300.0,23.90703924,38.98300493,-3.1068934
79400.0,23.90484914,39.69345238,3.06671416
79500.0,23.94267832,40.4508317,3.04732664
79600.0,24.04767616,40.90838509,2.89934146
79700.0,24.03413793,40.95642857,2.90022006
79800.0,24.06449602,40.96401099,2.89021951
79900.0,24.08570155,41.05695813,2.92829274
80000.0,24.02777135,40.95158198,2.99234249
80100.0,24.04908291,40.98404255,2.90694023
80200.0,23.99310345,41.08248299,2.94053158
80300.0,24.03898829,41.16610512,2.93050624
80400.0,24.09779471,40.84136213,3.01592365
80500.0,24.04021135,40.92511521,2.91404744
80600.0,24.03566243,41.08552632,2.90093784
80700.0,24.108323,40.95400822,2.88137637
80800.0,24.0362069,40.94642857,2.85750866
80900.0,24.03282132,41.10194805,3.05883881
81000.0,24.07881356,41.05205811,3.06970703
81100.0,23.97182396,40.97274436,2.92376945
81200.0,23.98884381,40.84243697,2.9116402
81300.0,23.9164517,40.3691385,2.97275253
81400.0,23.90716878,40.04162191,3.0043433
81500.0,23.87566313,39.35192308,3.09726825
81600.0,23.88789355,38.64285714,-3.05887349
81700.0,23.91004057,38.04691877,-2.97854485
81800.0,23.19239001,37.92580049,-2.9212924
81900.0,21.39715606,37.62039764,-2.8055326
82000.0,19.49519704,37.34584548,-2.85248063
82100.0,18.29735632,36.97698413,-2.82065514
82200.0,18.40626959,36.9025974,-2.53376446
82300.0,18.99558621,36.31,-2.09440371
82400.0,19.10623253,36.18388031,-1.80504497
82500.0,19.23971303,36.40699904,-1.63601208
82600.0,18.99853448,36.5755102,-1.81345192
82700.0,18.45517241,36.37026239,-1.91139702
82800.0,17.83694178,36.32494145,-2.05330518
82900.0,17.31461714,36.42620798,-2.21975302
83000.0,17.1192186,36.34698558,-2.35540348
83100.0,16.61304075,35.78474026,-2.32500765
83200.0,15.39524945,34.5193769,-2.29751535
83300.0,15.32027435,34.08315954,-2.0715186
83400.0,15.42966102,34.24213075,-1.75426442
83500.0,15.55730987,34.37524462,-1.05554159
83600.0,15.63577308,34.71705069,-1.09507581
83700.0,15.54905172,34.99620536,-0.76463744
83800.0,15.34845384,34.81036866,-0.9403626
83900.0,15.35368127,34.72080116,-1.06911235
84000.0,15.27284483,34.47321429,-0.60991411
84100.0,15.09752155,34.34747024,-1.97282309
84200.0,14.86933687,34.27912088,-2.29197206
84300.0,13.91130037,33.23881239,-1.77502473
84400.0,12.55,31.83163265,-2.28251509
84500.0,11.32617555,30.55658627,-2.30928888
84600.0,10.7496033,29.57427307,-2.19887495
84700.0,10.63302099,29.47360248,-1.81478949
84800.0,10.93078818,29.7233965,nan
84900.0,11.00116596,29.90981501,nan
85000.0,10.99784483,30.17281106,nan
85100.0,10.95271645,29.70863309,nan
85200.0,10.82864721,29.54395604,-0.22726816
85300.0,10.72491233,29.36077482,-1.72332977
85400.0,10.52737595,29.33013937,-2.02360018
85500.0,10.38836207,29.08184524,-2.12364464
85600.0,9.92164247,28.45770677,-2.01540364
85700.0,9.47027586,27.40285714,-1.89137271
85800.0,9.55007749,27.36235955,nan
85900.0,9.73369168,27.56470588,nan
86000.0,9.79018568,27.95957614,nan
86100.0,9.94418268,28.45910578,nan
86200.0,10.16073853,28.38863892,nan
86300.0,10.13128079,28.3680758,nan
86400.0,10.12766341,28.40804904,nan
86500.0,10.13234205,28.37488015,-0.16448722
86600.0,10.13503448,28.35357143,nan
86700.0,10.13252702,28.4000533,2.03167683
86800.0,10.12169118,28.3644958,nan
86900.0,10.14181902,28.37056568,2.06731081
87000.0,10.12661638,28.4047619,nan
